code  , name
000651,格力电器
000333,美的集团
002594,比亚迪
600031,三一重工
600366,宁波韵升
002415,海康威视
002127,南极电商
603533,掌阅科技
603000,人民网
603888,新华网
000938,紫光股份
000519,中兵红箭
002439,启明星辰
002120,韵达股份
002959,小熊电器
002410,广联达
600900,长江电力
002242,九阳股份
002475,立讯精密
002463,沪电股份
603160,汇顶科技
603927,中科软
600315,上海家化
000100,TCL集团
600600,青岛啤酒
002049,紫光国微
600571,信雅达
600584,长电科技
603019,中科曙光
601360,三六零
603986,兆易创新
002153,石基信息
002461,珠江啤酒
002859,洁美科技
002138,顺络电子
603317,天味食品
603027,千禾味业
002847,盐津铺子
603517,绝味食品
603288,海天味业
002507,涪陵榨菜
603866,桃李面包
002695,煌上煌
600030,中信证券
601688,华泰证券
601066,中信建投
002241,歌尔股份
